0.05[um],0.1[um],0.15[um]
1.02560237968762E-11,1.02658411756660E-11,1.02681328170594E-11
1.03519610593077E-11,1.03638705576746E-11,1.03802745169734E-11
1.04484156688045E-11,1.04617091976815E-11,1.04863273554971E-11
1.05497361117898E-11,1.05547813183376E-11,1.05753270320692E-11
1.06375430839626E-11,1.06475978040398E-11,1.06630962220352E-11
1.07338161953926E-11,1.07435176729325E-11,1.07536763336660E-11
1.08315366082218E-11,1.08392766546849E-11,1.08686747154094E-11
1.09321866684363E-11,1.09354365175841E-11,1.09631487093881E-11
1.10308907024941E-11,1.10334520781186E-11,1.10643571202997E-11
1.11298450932408E-11,1.11321253843389E-11,1.11661454153005E-11
1.12314452633740E-11,1.12335104372706E-11,1.12566247061996E-11
1.13331580364562E-11,1.13348416206262E-11,1.13548080837138E-11
1.14352604600622E-11,1.14384968551745E-11,1.14546915370738E-11
1.15394768571641E-11,1.15433531178344E-11,1.15610996115488E-11
1.16446024434276E-11,1.16491871417734E-11,1.16688289954530E-11
1.17509114627703E-11,1.17567789976648E-11,1.17772029379809E-11
1.18584212944560E-11,1.18656584065837E-11,1.18869745990393E-11
1.19671428674102E-11,1.19759150005903E-11,1.19984314508675E-11
1.20771191204887E-11,1.20875776849644E-11,1.21115701545850E-11
1.21883907384975E-11,1.22006775050086E-11,1.22263949615715E-11
1.23009978257736E-11,1.23152471239227E-11,1.23429163242073E-11
1.24149799902673E-11,1.24313204454058E-11,1.24611497816621E-11
1.25303764292806E-11,1.25489323427928E-11,1.25810219916210E-11
1.26472260135165E-11,1.26681184666406E-11,1.27026591853365E-11
1.27655673677904E-11,1.27889151101500E-11,1.28260912975086E-11
1.28854389476319E-11,1.29113591171973E-11,1.29513448874539E-11
1.30068791114522E-11,1.30354878217639E-11,1.30784488890177E-11
1.31299261882111E-11,1.31613390104479E-11,1.32074342791585E-11
1.32546185405402E-11,1.32889509019233E-11,1.33383338114947E-11
1.33809946234397E-11,1.34183621387756E-11,1.34711818024455E-11
1.35090930386732E-11,1.35496117883243E-11,1.36060139599811E-11
1.36389525850693E-11,1.36827393499450E-11,1.37428672469036E-11
1.37706123050155E-11,1.38177847669913E-11,1.38817797721361E-11
1.39041115274161E-11,1.39547884419501E-11,1.40227907047386E-11
1.40394899074794E-11,1.40937912538074E-11,1.41659402063822E-11
1.41767874636063E-11,1.42348345768593E-11,1.43112693788126E-11
1.43160446116916E-11,1.43779603004044E-11,1.44588202234979E-11
1.44573021971537E-11,1.45232108489184E-11,1.46086356111738E-11
1.46006015248974E-11,1.46706292023953E-11,1.47607592594230E-11
1.47459843874503E-11,1.48202589166495E-11,1.49152357167679E-11
1.48934930914665E-11,1.49721441433896E-11,1.50721103520271E-11
1.50431704827636E-11,1.51263296499687E-11,1.52314293479052E-11
1.51950599699963E-11,1.52828608386977E-11,1.53932396979512E-11
1.53492055471295E-11,1.54417837656505E-11,1.55575892061725E-11
1.55056518147388E-11,1.56031451588998E-11,1.57245264886811E-11
1.56644440002505E-11,1.57669924361187E-11,1.58941009768390E-11
1.58256279771401E-11,1.59333737214998E-11,1.60663629214277E-11
1.59892502831093E-11,1.61023378619244E-11,1.62413633973941E-11
1.61553581372822E-11,1.62739344423368E-11,1.64191543087642E-11
1.63239994563923E-11,1.64482138002596E-11,1.65997883933011E-11
1.64952228699570E-11,1.66252270393983E-11,1.67833192264749E-11
1.66690777344341E-11,1.68050260422882E-11,1.69698012243410E-11
1.68456141463326E-11,1.69876634819428E-11,1.71592896449768E-11
1.70248829542848E-11,1.71731928324846E-11,1.73518405886003E-11
1.72069357700746E-11,1.73616683787574E-11,1.75475109982316E-11
1.73918249786630E-11,1.75531452249557E-11,1.77463586688906E-11
1.75796037472559E-11,1.77476793023453E-11,1.79484422959345E-11
1.77703260335409E-11,1.79453273761986E-11,1.81538216789859E-11
1.79640465932161E-11,1.81461470521355E-11,1.83625585446899E-11
1.81608209870530E-11,1.83501967821243E-11,1.85747198538318E-11
1.83607055877646E-11,1.85575358704907E-11,1.87903893337967E-11
1.85637575870582E-11,1.87682244803610E-11,1.90096783276526E-11
1.87700350033244E-11,1.89823236410739E-11,1.92325417379803E-11
1.89795966905484E-11,1.91998952572161E-11,1.94589855845062E-11
1.91925023490559E-11,1.94210021200097E-11,1.96891723093904E-11
1.94088125389658E-11,1.96457079219462E-11,1.99231709005524E-11
1.96285886971361E-11,1.98740772756280E-11,2.01610486300199E-11
1.98518931586698E-11,2.01061757379275E-11,2.04028731255885E-11
2.00787891841004E-11,2.03420698406389E-11,2.06487133239886E-11
2.03093409933789E-11,2.05818271289460E-11,2.08986395610820E-11
2.05436138080698E-11,2.08255162090084E-11,2.11527235273547E-11
2.07816739030327E-11,2.10732068061683E-11,2.14110382496743E-11
2.10235886690296E-11,2.13249698351418E-11,2.16736581150367E-11
2.12694266877335E-11,2.15808774837709E-11,2.19406589297675E-11
2.15192578205198E-11,2.18410033116465E-11,2.22121180076469E-11
2.17731533126037E-11,2.21054223651364E-11,2.24881142829283E-11
2.20311859135558E-11,2.23742113099074E-11,2.27687284466156E-11
2.22934300160288E-11,2.26474485824164E-11,2.30540431050583E-11
2.25599618130531E-11,2.29252145611509E-11,2.33441429606225E-11
2.28308594757683E-11,2.32075917580970E-11,2.36391150144179E-11
2.31062033514592E-11,2.34946650321301E-11,2.39390487910153E-11
2.33860761832914E-11,2.37865218228292E-11,2.42440365850087E-11
2.36705633512610E-11,2.40832524067415E-11,2.45541737286928E-11
2.39597531348547E-11,2.43849501738037E-11,2.48695588806867E-11
2.42537369970002E-11,2.46917119246667E-11,2.51902943339565E-11
2.45526098887952E-11,2.50036381874079E-11,2.55164863422413E-11
2.48564705728898E-11,2.53208335526220E-11,2.58482454629922E-11
2.51654219666240E-11,2.56434070228334E-11,2.61856869152399E-11
2.54795715010240E-11,2.59714723809908E-11,2.65289309493626E-11
2.57990314945921E-11,2.63051485654630E-11,2.68781032273723E-11
2.61239195392699E-11,2.66445600604013E-11,2.72333352095315E-11
2.64543588984112E-11,2.69898372859877E-11,2.75947645457685E-11
2.67904789098196E-11,2.73411170039932E-11,2.79625354680606E-11
2.71324153963514E-11,2.76985427116720E-11,2.83367991804378E-11
2.74803110754068E-11,2.80622650443090E-11,2.87177142442178E-11
2.78343159729959E-11,2.84324421695574E-11,2.91054469555246E-11
2.81945878307142E-11,2.88092401678341E-11,2.95001717112521E-11
2.85612925085708E-11,2.91928334229855E-11,2.99020713620460E-11
