2[um],2.25[um],2.5[um]
6.69865467854206E-12,8.38611710801180E-12,1.02658411756660E-11
6.77954760834336E-12,8.47779339417126E-12,1.03638705576746E-11
6.86166746010081E-12,8.56775183911387E-12,1.04617091976815E-11
6.93639459649256E-12,8.64918014227195E-12,1.05547813183376E-11
7.01297830549129E-12,8.74419534203305E-12,1.06475978040398E-11
7.09184798623238E-12,8.82982666393422E-12,1.07435176729325E-11
7.17377291362382E-12,8.91467459555431E-12,1.08392766546849E-11
7.25649478276819E-12,9.00479979926459E-12,1.09354365175841E-11
7.34040968117474E-12,9.08995519228895E-12,1.10334520781186E-11
7.42623172198161E-12,9.18216581549016E-12,1.11321253843389E-11
7.51402174178827E-12,9.27621521798107E-12,1.12335104372706E-11
7.60195463330231E-12,9.37146916783039E-12,1.13348416206262E-11
7.69205265649386E-12,9.46825248122047E-12,1.14384968551745E-11
7.78356549576272E-12,9.56633645634071E-12,1.15433531178344E-11
7.87631631345207E-12,9.66574569592450E-12,1.16491871417734E-11
7.97094622416366E-12,9.76659499870572E-12,1.17567789976648E-11
8.06708271291123E-12,9.86889149722179E-12,1.18656584065837E-11
8.16489079879074E-12,9.97268090571698E-12,1.19759150005903E-11
8.26441800944219E-12,1.00780026883243E-11,1.20875776849644E-11
8.36571341233280E-12,1.01848975276856E-11,1.22006775050086E-11
8.46882738563794E-12,1.02934070669027E-11,1.23152471239227E-11
8.57381147171265E-12,1.04035737390598E-11,1.24313204454058E-11
8.68071828921557E-12,1.05154406588465E-11,1.25489323427928E-11
8.78960148680313E-12,1.06290515581563E-11,1.26681184666406E-11
8.90051572619001E-12,1.07444507527477E-11,1.27889151101500E-11
9.01351668585728E-12,1.08616831307203E-11,1.29113591171973E-11
9.12866107917538E-12,1.09807941562308E-11,1.30354878217639E-11
9.24600668248969E-12,1.11018298837272E-11,1.31613390104479E-11
9.36561236999199E-12,1.12248369793331E-11,1.32889509019233E-11
9.48753815311523E-12,1.13498627470029E-11,1.34183621387756E-11
9.61184522283068E-12,1.14769551577180E-11,1.35496117883243E-11
9.73859599368944E-12,1.16061628805426E-11,1.36827393499450E-11
9.86785414873039E-12,1.17375353146882E-11,1.38177847669913E-11
9.99968468453463E-12,1.18711226219997E-11,1.39547884419501E-11
1.01341539556412E-11,1.20069757594707E-11,1.40937912538074E-11
1.02713297171747E-11,1.21451465115102E-11,1.42348345768593E-11
1.04112811637235E-11,1.22856875217971E-11,1.43779603004044E-11
1.05540789644119E-11,1.24286523246098E-11,1.45232108489184E-11
1.06997953575659E-11,1.25740953755703E-11,1.46706292023953E-11
1.08485057681251E-11,1.27220720817590E-11,1.48202589166495E-11
1.10003252023278E-11,1.28726388312017E-11,1.49721441433896E-11
1.11552047960573E-11,1.30258530216949E-11,1.51263296499687E-11
1.13133518321154E-11,1.31817730889928E-11,1.52828608386977E-11
1.14748046362700E-11,1.33404585343147E-11,1.54417837656505E-11
