2[um],2.25[um],2.5[um],
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,-3.371549892603477E-16i,-3.1397503942404194E-16i,
-1.1578615918588548E-15i,-1.067261584813668E-15i,-9.190494044031377E-16i,
-3.9695379509937066E-15i,-2.617234613487523E-15i,-2.4615354162371254E-15i,
-1.0099840280637868E-14i,-6.92694716418118E-15i,-6.1172526316364605E-15i,
-2.632756660341699E-14i,-1.7127279047542936E-14i,-1.4660219054884672E-14i,
-6.493979144168498E-14i,-4.089826777766451E-14i,-3.4395358883100734E-14i,
-1.5352804804138912E-13i,-9.495723574793691E-14i,-7.719237823138752E-14i,
-3.512190224685089E-13i,-2.1170028233435266E-13i,-1.6793827012687017E-13i,
-7.770755917564819E-13i,-4.569205213265432E-13i,-3.5406946992074286E-13i,
-1.6644288360508314E-12i,-9.56691643083022E-13i,-7.245190177142365E-13i,
-3.460742667499064E-12i,-1.9465082259871457E-12i,-1.4431908385121673E-12i,
-6.995490533015056E-12i,-3.85448637403349E-12i,-2.799237986772347E-12i,
-1.376804686107717E-11i,-7.439823564328522E-12i,-5.297334577919385E-12i,
-2.6422571948520433E-11i,-1.4016594710182977E-11i,-9.793462986691585E-12i,
-4.9508138954477237E-11i,-2.580840219687834E-11i,-1.7710905437912084E-11i,
-9.068079632790257E-11i,-4.649838744220114E-11i,-3.136567943248019E-11i,
-1.6255348330956733E-10i,-8.206304372292028E-11i,-5.445776723855013E-11i,
-2.8548180659428946E-10i,-1.4201935783468066E-10i,-9.278616181151037E-11i,
-4.916929937937128E-10i,-2.412406127516072E-10i,-1.5528521143629744E-10i,
-8.312760113912842E-10i,-4.0257541366631314E-10i,-2.5549209279170775E-10i,
-1.380725590387044E-9i,-6.605453082856946E-10i,-4.135982391253483E-10i,
-2.2549236259261133E-9i,-1.0664881855900087E-9i,-6.59271702084952E-10i,
