0.05[um],0.1[um],0.15[um],
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,-3.4959023602090206E-16i,
0,-3.1397503942404194E-16i,-6.635178274324317E-16i,
-4.1893320711585644E-16i,-9.190494044031377E-16i,-1.8852020931562928E-15i,
-1.5326959016136311E-15i,-2.4615354162371254E-15i,-4.810891486783667E-15i,
-3.820807428766026E-15i,-6.1172526316364605E-15i,-1.1712297712508407E-14i,
-9.381431564487825E-15i,-1.4660219054884672E-14i,-2.7135742059166384E-14i,
-2.259321129704841E-14i,-3.4395358883100734E-14i,-6.115505998779256E-14i,
-5.1227211500624734E-14i,-7.719237823138752E-14i,-1.333661699120704E-13i,
-1.1333694540858845E-13i,-1.6793827012687017E-13i,-2.8254433265930135E-13i,
-2.425365365634399E-13i,-3.5406946992074286E-13i,-5.807189941647762E-13i,
-5.037421572057978E-13i,-7.245190177142365E-13i,-1.1614516816649266E-12i,
-1.0163643213099398E-12i,-1.4431908385121673E-12i,-2.264299603215495E-12i,
-1.996128872753085E-12i,-2.799237986772347E-12i,-4.30659842417454E-12i,
-3.822260464067483E-12i,-5.297334577919385E-12i,-8.002715813535354E-12i,
-7.14550153609142E-12i,-9.793462986691585E-12i,-1.4547748320382454E-11i,
-1.3056588117144054E-11i,-1.7710905437912084E-11i,-2.5897581336361705E-11i,
-2.3351432168281855E-11i,-3.136567943248019E-11i,-4.519559633353983E-11i,
-4.0919746878117356E-11i,-5.445776723855013E-11i,-7.739830760704754E-11i,
-7.033385336372176E-11i,-9.278616181151037E-11i,-1.3018390569314564E-10i,
-1.1869219963113166E-10i,-1.5528521143629744E-10i,-2.1525127895621775E-10i,
-1.9683582407345445E-10i,-2.5549209279170775E-10i,-3.5013981775290686E-10i,
-3.2105359742597513E-10i,-4.135982391253483E-10i,-5.607517704679397E-10i,
