2[um],3[um],4[um],5[um]
2.695242835,2.699679062,2.701253788,2.701988224
2.67541993,2.680796903,2.682708235,2.683600345
2.660063224,2.666463191,2.668741365,2.669805446
2.64770769,2.655212383,2.657887092,2.659137312
2.637432453,2.646122245,2.649222821,2.650673312
2.62863229,2.638586807,2.642142906,2.643807675
2.620897649,2.632195193,2.636235667,2.638128466
2.613940103,2.626659123,2.631212963,2.633347367
2.60755313,2.621771795,2.626867231,2.629257518
2.601586803,2.617381112,2.623047128,2.625706708
2.595928195,2.613374746,2.619639411,2.622581381
2.590491733,2.60966561,2.616557374,2.619795682
2.585212351,2.606189323,2.613734993,2.617282677
2.580038231,2.602890784,2.611119797,2.61499056
2.574929036,2.599732885,2.608671535,2.612878203
2.569852886,2.596681298,2.606356855,2.610912667
2.564783883,2.593709826,2.604149418,2.609067439
2.559701082,2.590797103,2.602027695,2.607320921
2.554587367,2.587925621,2.599974026,2.605655384
2.549428652,2.585080929,2.597973812,2.604056162
2.544213265,2.582251022,2.596014906,2.602511042
2.538931477,2.579425861,2.594087133,2.601009788
2.53357513,2.576597006,2.592181925,2.599543769
2.528137345,2.573757322,2.590292023,2.598105669
2.522612295,2.570900749,2.58841125,2.596689252
2.516995016,2.568022115,2.586534323,2.595289182
2.51128126,2.56511699,2.584656703,2.593900865
2.505467376,2.562181558,2.582774476,2.592520336
2.49955021,2.559212528,2.580884254,2.591144157
2.493527027,2.556207043,2.578983091,2.589769334
2.48739544,2.55316262,2.577068421,2.588393253
2.481153363,2.550077094,2.575137995,2.587013624
2.474798958,2.546948568,2.573189845,2.585628433
2.468330602,2.543775379,2.571222235,2.584235904
2.461746852,2.54055606,2.569233635,2.582834468
2.455046419,2.537289319,2.567222693,2.581422733
2.448228149,2.533974011,2.565188207,2.579999463
2.441290996,2.530609119,2.563129111,2.578563555
2.434234014,2.527193741,2.561044453,2.577114025
2.427056338,2.523727068,2.558933384,2.575649992
2.419757174,2.52020838,2.556795146,2.574170667
2.412335791,2.516637029,2.554629055,2.572675339
2.404791506,2.513012431,2.552434501,2.571163369
2.397123684,2.509334062,2.550210932,2.569634178
2.389331728,2.505601446,2.54795785,2.568087247
2.381415073,2.50181415,2.545674806,2.566522101
2.373373184,2.497971782,2.543361392,2.564938311
2.365205551,2.494073981,2.54101724,2.563335489
2.356911685,2.490120418,2.538642012,2.561713278
2.348491116,2.486110789,2.536235402,2.560071355
2.339943391,2.482044814,2.533797131,2.558409422
2.331268071,2.477922231,2.531326941,2.55672721
2.322464731,2.473742799,2.528824599,2.555024469
,2.469506289,2.526289888,2.55330097
,2.465212489,2.523722609,2.551556504
,2.460861195,2.521122577,2.549790874
,2.456452218,2.518489623,2.548003903
,2.451985373,2.515823586,2.546195424
,2.447460486,2.513124319,2.544365281
,2.442877389,2.510391684,2.542513333
,2.43823592,2.507625552,2.540639443
,2.433535919,2.504825799,2.538743489
,2.428777234,2.50199231,2.536825351
,2.423959713,2.499124977,2.534884921
,2.419083209,2.496223695,2.532922093
,2.414147576,2.493288364,2.530936771
,2.40915267,2.49031889,2.528928861
,2.404098347,2.48731518,2.526898275
,2.398984466,2.484277147,2.52484493
,2.393810884,2.481204704,2.522768745
,2.388577461,2.478097768,2.520669643
