% Model,hex structure V4 - GeAsS.mph
% Version,COMSOL 6.3.0.290
% Date,"May 31 2026, 12:13"
% Table,Table 1 - Global Evaluation 1
% wl,hang (m),r (m),Effective mode index (1),real(ewfd.neff) (1),Aeff (m^2)
3.1,5.0E-8,2.0E-6,2.496714885036162-0.06239667646217279i,2.496714885036162,6.780950722195072E-11
3.1,5.0E-8,2.0E-6,2.4967169060500796-0.062396349602121044i,2.4967169060500796,6.78108896150009E-11
3.1,5.0E-8,2.0E-6,2.5100534673553825-0.0599379814105665i,2.5100534673553825,6.771986697989905E-11
3.1,5.0E-8,2.0E-6,2.51005490522957-0.05993775266315658i,2.51005490522957,6.772094938250108E-11
3.1,5.0E-8,2.0E-6,2.522449566110655-0.05760145639938008i,2.522449566110655,6.780262787604058E-11
3.1,5.0E-8,2.0E-6,2.5225851080178647-0.05770447175427838i,2.5225851080178647,6.760468852019439E-11
3.1,5.0E-8,2.0E-6,2.534118677301168-0.05553627243988364i,2.534118677301168,6.759917480896494E-11
3.1,5.0E-8,2.0E-6,2.5341193767622943-0.055536183185548496i,2.5341193767622943,6.759986866122116E-11
3.1,5.0E-8,2.0E-6,2.5389314772112925,2.5389314772112925,7.386186441658233E-12
3.1,5.0E-8,2.0E-6,2.538931653951757,2.538931653951757,7.386255240246577E-12
3.1,5.0E-8,2.0E-6,2.5448714397950574-0.05358260504270045i,2.5448714397950574,6.746946367060639E-11
3.1,5.0E-8,2.0E-6,2.5448718692736247-0.05358252304112406i,2.5448718692736247,6.74702047257264E-11
3.1,5.0E-8,2.0E-6,2.55472304093091-0.05173423709963777i,2.55472304093091,6.759216563842536E-11
3.1,5.0E-8,2.0E-6,2.5548499204196196-0.051843933665720994i,2.5548499204196196,6.73723126933083E-11
3.1,5.0E-8,2.0E-6,2.5638735495170772-0.05015149918792355i,2.5638735495170772,6.73191230742E-11
3.1,5.0E-8,2.0E-6,2.563873716000276-0.05015146848937026i,2.563873716000276,6.731940479664574E-11
3.1,5.0E-8,2.0E-6,2.5721421578943926-0.04866581035121755i,2.5721421578943926,6.759242759325533E-11
3.1,5.0E-8,2.0E-6,2.5721422537902816-0.0486657919988843i,2.5721422537902816,6.75926476113891E-11
3.1,5.0E-8,2.0E-6,2.5794472245159557-0.1396275169059126i,2.5794472245159557,6.863186708841502E-11
3.1,5.0E-8,2.0E-6,2.5795105236830502-0.13973392443141974i,2.5795105236830502,6.852349896275775E-11
3.1,5.0E-8,2.0E-6,2.5795390956226516-0.04727358053387062i,2.5795390956226516,6.742774681197459E-11
3.1,5.0E-8,2.0E-6,2.579661226277288-0.04738775253171508i,2.579661226277288,6.718256274695012E-11
3.1,5.0E-8,2.0E-6,2.5841264784633426-0.13894104257535075i,2.5841264784633426,6.863679855739521E-11
3.1,5.0E-8,2.0E-6,2.5841266456480447-0.13894146544918784i,2.5841266456480447,6.863715716067322E-11
3.1,5.0E-8,2.0E-6,2.5862547215829554-0.04614262996823363i,2.5862547215829554,7.060670575383565E-11
3.1,5.0E-8,2.0E-6,2.586254757106028-0.046142671381505476i,2.586254757106028,7.060663981921066E-11
3.1,5.0E-8,2.0E-6,2.58792342149953-0.1383374615477199i,2.58792342149953,6.866710972027677E-11
3.1,5.0E-8,2.0E-6,2.587923861586427-0.13833866960894534i,2.587923861586427,6.866818250725666E-11
3.1,5.0E-8,2.0E-6,2.5908248720542026-0.13778060616030013i,2.5908248720542026,6.856919550861156E-11
3.1,5.0E-8,2.0E-6,2.5909167834544324-0.13796476897427612i,2.5909167834544324,6.855942914595796E-11
3.1,5.0E-8,2.0E-6,2.592112315175432-0.045098562082707856i,2.592112315175432,6.844539114365289E-11
3.1,5.0E-8,2.0E-6,2.592112338658376-0.045098579139354i,2.592112338658376,6.844525121950333E-11
3.1,5.0E-8,2.0E-6,2.592973232358318-0.13754118478248104i,2.592973232358318,6.903030609174172E-11
3.1,5.0E-8,2.0E-6,2.59297353707877-0.137542055389189i,2.59297353707877,6.903178309892061E-11
3.1,5.0E-8,2.0E-6,2.5942355713875176-0.13734150286124686i,2.5942355713875176,6.802321797156106E-11
3.1,5.0E-8,2.0E-6,2.5942357625108636-0.13734209129195507i,2.5942357625108636,6.802628780145071E-11
3.1,5.0E-8,2.0E-6,2.594656176420865-0.13727535130986043i,2.594656176420865,1.0074712843778937E-12
3.1,5.0E-8,2.0E-6,2.5971196216753674-0.04414062789977325i,2.5971196216753674,6.732473113941968E-11
3.1,5.0E-8,2.0E-6,2.5972364785074875-0.04425662551520808i,2.5972364785074875,6.704350734111026E-11
3.1,5.0E-8,2.0E-6,2.6014567526113934-0.04343990581491632i,2.6014567526113934,6.702190452102379E-11
3.1,5.0E-8,2.0E-6,2.60145675961562-0.04343991308415709i,2.60145675961562,6.702203170972795E-11
3.1,5.0E-8,2.0E-6,2.6049525473511426-0.04281959967386092i,2.6049525473511426,6.69880316918705E-11
3.1,5.0E-8,2.0E-6,2.6049525843560084-0.04281964188528174i,2.6049525843560084,6.69877778882327E-11
3.1,5.0E-8,2.0E-6,2.607612200722551-0.04228375517061505i,2.607612200722551,6.74405549436018E-11
3.1,5.0E-8,2.0E-6,2.6077236712372796-0.042396893281562806i,2.6077236712372796,6.698280958865371E-11
3.1,5.0E-8,2.0E-6,2.609605673398659-0.04199899040563411i,2.609605673398659,6.691920553044169E-11
3.1,5.0E-8,2.0E-6,2.609605709201608-0.04199903227034729i,2.609605709201608,6.691889315874644E-11
3.1,5.0E-8,2.0E-6,2.610767918437686-0.04179306060066319i,2.610767918437686,6.691514765998883E-11
3.1,5.0E-8,2.0E-6,2.6107679400333375-0.041793085991845086i,2.6107679400333375,6.691480923036566E-11
3.1,5.0E-8,2.0E-6,2.6111552113523513-0.04172455644857198i,2.6111552113523513,1.0036936400616589E-10
3.1,1.0E-7,2.0E-6,2.4966351416330763-0.06233314422994501i,2.4966351416330763,6.779299920573684E-11
